NE ID;END ID;TIPO TOP
BSBV01;SPBRS_0001;NÃO TOP
BSCT01;SPBRS_0002;NÃO TOP
BSJC01;SPSJC_0072; NÃO TOP
BSNC01;SPBRS_0003;NÃO TOP
BSSS01;SPBRS_0012;NÃO TOP
BSPO01;SPSPO_0447; NÃO TOP
BSPO04;SPSPO_0447; NÃO TOP
BSPO05;SPSPO_0022; NÃO TOP
BSPO06;SPSPO_0022; NÃO TOP
BSPO07;SPSPO_0447; NÃO TOP
BSPO09;SPSPO_0022; NÃO TOP
BSPO10;SPSPO_0447; NÃO TOP
BSPP01;SPBRS_0005;TOP
BSRD01;SPBRS_0006;NÃO TOP
BSRD02;SPBRS_0007;TOP
BSRD03;SPBRS_0008;TOP
BSRD04;SPBRS_0009;NÃO TOP
BSSI01;SPBRS_0010;NÃO TOP
BTJA01;SPBERT0001;TOP
BTJC01;SPBERT0002;TOP
BTJL01;SPBERT0003;NÃO TOP
BTJP01;SPBERT0004;TOP
BTRS03;SPBERT0005;TOP
BTSL01;SPBERT0006;TOP
BTSL02;SPBERT0007;TOP
BTSL03;SPBERT0011;NÃO TOP
BTTT01;SPBERT0008;NÃO TOP
BTVA01;SPBERT0009;TOP
BTVI01;SPBERT0010;NÃO TOP
BUMR02;SPBTU_0001;TOP
BUPC01;SPBTU_0002;NÃO TOP
BURD02;SPBTU_0003;NÃO TOP
BURD04;SPBTU_0004;TOP
BURD05;SPBTU_0005;TOP
BUVA01;SPBTU_0006;TOP
BUVE01;SPBTU_0007;NÃO TOP
BUVP01;SPBTU_0008;NÃO TOP
BVCT01;SPBTV_0001;TOP
BVRD01;SPBTV_0002;NÃO TOP
BWCT01;SPBMM_0001;NÃO TOP
BXCT01;SPBLO_0001;NÃO TOP
BYCT01;SPBRR_0001;NÃO TOP
CAJE01;SPCVA_0001;TOP
CAJM01;SPCVA_0002;NÃO TOP
CAJP01;SPCVA_0003;NÃO TOP
CBAN01;SPCAO_0001;TOP
CBCQ01;SPCAO_0003;NÃO TOP
CBPG01;SPCAO_0004;NÃO TOP
CBPG02;SPCAO_0005;NÃO TOP
CBSJ01;SPCAO_0006;TOP
CBSR01;SPCAO_0007;TOP
CCSJ01;SPCHP_0001;NÃO TOP
CDWL01;SPCDP_0001;NÃO TOP
CECT01;SPCEX_0001;TOP
CFCT01;SPCFL_0001;TOP
CFMR01;SPCFL_0002;TOP
CGAR01;SPCGT_0001;TOP
CGEN01;SPCGT_0002;TOP
CGIN02;SPCGT_0003;NÃO TOP
CGIN03;SPCGT_0003; NÃO TOP
CGMG01;SPCGT_0005;NÃO TOP
CGMM01;SPCGT_0006; NÃO TOP
CGPA01;SPCGT_0009;NÃO TOP
CGPN01;SPCGT_0010;NÃO TOP
CGRO01;SPCGT_0011;NÃO TOP
CGTB01;SPCGT_0012;NÃO TOP
CGTT01;SPCGT_0013;TOP
CHCT01;SPCVH_0001;NÃO TOP
CHFP02;SPCVH_0005;NÃO TOP
CHND01;SPCVH_0003;NÃO TOP
CHRD01;SPCVH_0004;NÃO TOP
CICT01;SPCMP_0001;TOP
CIRD01;SPCMP_0002;TOP
CJAB01;SPCPJ_0001;NÃO TOP
CJAC01;SPCPJ_0002;NÃO TOP
CJPN01;SPCPJ_0004;NÃO TOP
CJSC01;SPCPJ_0005;NÃO TOP
CJSR01;SPCPJ_0006;NÃO TOP
CJTT01;SPCPJ_0007;NÃO TOP
CJVI01;SPCPJ_0008;TOP
CJVL01;SPCPJ_0009;NÃO TOP
CJVM01;SPCPJ_0010;TOP
CKRD01;SPCQR_0001;NÃO TOP
CLVI01;SPCMX_0001;TOP
CMAN01;SPCJR_0006;NÃO TOP
CMFV01;SPCJR_0001;NÃO TOP
CMPL01;SPSPO_0001;TOP
CMSB01;SPCJR_0002;TOP
CMSI01;SPCJR_0003;TOP
CMVN01;SPCJR_0004;NÃO TOP
CNAN01;SPSZX_0001;TOP
COJS01;SPCOA_0002;NÃO TOP
COMS01;SPCOA_0003;NÃO TOP
CONC01;SPCOA_0004;NÃO TOP
COSR01;SPCOA_0005;NÃO TOP
COVJ01;SPCOA_0006;TOP
CP047R;0; NÃO TOP
CPAD01;SPCAS_0001;NÃO TOP
CPAH02;SPCAS_0002;TOP
CPBF01;SPCAS_0003;NÃO TOP
CPBG01;SPCAS_0058;TOP
CPBO01;SPCAS_0061; NÃO TOP
CPCB01;SPCAS_0004;NÃO TOP
CPCB02;SPCAS_0005;NÃO TOP
CPCB03;SPCAS_0006;NÃO TOP
CPCE01;SPCAS_0007;NÃO TOP
CPCS01;SPCAS_0008;TOP
CPCT01;SPCAS_0009;NÃO TOP
CPCT02;SPCAS_0010;NÃO TOP
CPCT03;SPCAS_0011;NÃO TOP
CPCT07;SPCAS_0059;TOP
CPCV01;SPCAS_0013;TOP
CPJE01;SPCAS_0015;NÃO TOP
CPJI01;SPCAS_0017;TOP
CPJL01;SPCAS_0018;NÃO TOP
CPJM01;SPCAS_0019;NÃO TOP
CPJO01;SPCAS_0020;TOP
CPJP01;SPCAS_0021;NÃO TOP
CPJR02;SPCAS_0022; NÃO TOP
CPJS01;SPCAS_0023;NÃO TOP
CPMD01;SPCAS_0024;TOP
CPNA01;SPCAS_0028;TOP
CPNM01;SPCAS_0029;NÃO TOP
CPPP01;SPCAS_0030;TOP
CPPR01;SPCAS_0031;NÃO TOP
CPPT01;SPCAS_0032;NÃO TOP
CPQD01;SPCAS_0033;NÃO TOP
CPRA01;SPCAS_0034;TOP
CPSA01;SPCAS_0035;TOP
CPSB01;SPCAS_0036;TOP
CPSB02;SPCAS_0037;NÃO TOP
CPSC01;SPCAS_0038;NÃO TOP
CPSJ01;SPCAS_0039; NÃO TOP
CPSO01;SPCAS_0040;TOP
CPSR01;SPCAS_0041;NÃO TOP
CPSS01;SPCAS_0042;NÃO TOP
CPSX01;SPCAS_0043;NÃO TOP
CPTI01;SPCAS_0044;TOP
CPTQ01;SPCAS_0045;TOP
CPVG01;SPCAS_0046;TOP
CPVI01;SPCAS_0047;NÃO TOP
CPVJ01;SPCAS_0048;NÃO TOP
CPVM01;SPCAS_0049;TOP
CPVN01;SPCAS_0050;TOP
CPVO01;SPCAS_0051;NÃO TOP
CPVP01;SPCAS_0052;NÃO TOP
CPVT01;SPCAS_0053;NÃO TOP
CPXB01;SPCAS_0054;NÃO TOP
CQJE01;SPCQO_0001;TOP
CRAE01;SPCIV_0003;TOP
CRBS01;SPCIV_0004;NÃO TOP
CRCT01;SPCIV_0005;NÃO TOP
CRST01;SPCIV_0006;NÃO TOP
CRVH01;SPCIV_0007;TOP
CRVM01;SPCIV_0008;NÃO TOP
CRVS01;SPCIV_0009;NÃO TOP
CSCT01;SPCER_0001;NÃO TOP
CSNC01;SPCER_0002;NÃO TOP
